Device_Type,Region,Base_Lifespan,Current_Age_Years,Usage_Hours_Per_Day,Dust_Index,Humidity_Index,Temperature_Stress,Power_Outage_Freq,Maintenance_Frequency,Actual_Total_Lifespan,Remaining_Useful_Life,Is_Failed
Computer,Pune/Nashik,6,2.43,4.3,0.41,0.4,0.64,Medium,Rare,4.59,2.16,0
Hard Disk / SSD,Konkan/Mumbai,5,3.38,8.5,0.49,0.71,0.79,Low,Rare,2.91,0.0,1
Motherboard,Konkan/Mumbai,8,0.09,4.3,0.52,0.8,0.75,High,Rare,4.4,4.31,0
Printer,Vidarbha/Marathwada,5,4.25,7.9,0.86,0.44,0.76,Medium,Rare,3.48,0.0,1
Mouse,Pune/Nashik,3,0.32,4.5,0.67,0.41,0.54,Medium,Annual,2.94,2.62,0
Computer,Vidarbha/Marathwada,6,5.11,6.0,0.91,0.31,0.77,Medium,Annual,4.26,0.0,1
Router / Switch,Vidarbha/Marathwada,6,0.3,9.4,0.81,0.37,0.87,Medium,Annual,4.05,3.75,0
Motherboard,Pune/Nashik,8,3.83,7.6,0.57,0.67,0.67,Medium,Annual,5.17,1.34,0
Motherboard,Vidarbha/Marathwada,8,0.67,2.0,0.65,0.45,0.79,High,Rare,4.89,4.22,0
Hard Disk / SSD,Vidarbha/Marathwada,5,4.19,7.6,0.73,0.25,0.83,Medium,Rare,3.26,0.0,1
Monitor,Vidarbha/Marathwada,7,1.26,5.3,0.8,0.32,0.81,High,Rare,5.47,4.21,0
Router / Switch,Vidarbha/Marathwada,6,2.26,9.5,0.92,0.5,0.93,Medium,Annual,3.83,1.57,0
Router / Switch,Vidarbha/Marathwada,6,1.98,5.4,0.61,0.27,0.93,Medium,Annual,5.03,3.05,0
Computer,Vidarbha/Marathwada,6,3.19,9.6,0.65,0.35,0.96,Medium,Rare,2.57,0.0,1
Mouse,Konkan/Mumbai,3,2.79,6.2,0.58,0.91,0.69,Medium,Annual,2.51,0.0,1
Smartphone,Pune/Nashik,4,1.83,3.7,0.69,0.46,0.54,Medium,Biannual,4.79,2.96,0
Keyboard,Pune/Nashik,4,3.27,9.4,0.51,0.46,0.62,Low,Annual,3.26,0.0,1
Monitor,Pune/Nashik,7,0.4,5.4,0.69,0.65,0.53,Medium,Annual,6.84,6.44,0
Printer,Vidarbha/Marathwada,5,0.97,3.5,0.93,0.5,0.79,Medium,Annual,4.72,3.75,0
Hard Disk / SSD,Pune/Nashik,5,2.51,9.1,0.55,0.49,0.52,Medium,Rare,2.45,0.0,1
Motherboard,Vidarbha/Marathwada,8,0.02,8.9,0.64,0.44,0.87,High,Annual,3.89,3.87,0
Smartphone,Konkan/Mumbai,4,3.49,9.5,0.48,0.76,0.76,High,Annual,2.86,0.0,1
Smartphone,Konkan/Mumbai,4,3.52,7.0,0.49,0.85,0.79,Medium,Rare,2.94,0.0,1
Monitor,Pune/Nashik,7,4.29,8.3,0.68,0.6,0.56,Low,Rare,4.2,0.0,1
Smartphone,Vidarbha/Marathwada,4,4.69,2.5,0.74,0.49,0.7,High,Biannual,4.34,0.0,1
Mouse,Konkan/Mumbai,3,1.99,4.1,0.59,0.89,0.69,High,Rare,2.23,0.24,0
Printer,Pune/Nashik,5,0.11,4.7,0.64,0.65,0.66,Medium,Biannual,5.52,5.41,0
Hard Disk / SSD,Konkan/Mumbai,5,3.89,6.3,0.39,0.89,0.69,Low,Annual,3.84,0.0,1
Printer,Vidarbha/Marathwada,5,2.71,5.2,0.67,0.43,0.85,Low,Biannual,4.99,2.28,0
Smartphone,Pune/Nashik,4,2.38,7.7,0.66,0.53,0.66,Medium,Rare,2.57,0.19,0
Keyboard,Konkan/Mumbai,4,2.22,2.2,0.48,0.96,0.59,Low,Rare,3.48,1.26,0
Keyboard,Pune/Nashik,4,4.19,5.8,0.64,0.69,0.48,Medium,Biannual,3.68,0.0,1
Hard Disk / SSD,Pune/Nashik,5,1.37,8.2,0.56,0.52,0.56,High,Rare,2.31,0.94,0
Router / Switch,Pune/Nashik,6,0.06,7.6,0.66,0.63,0.51,Medium,Rare,3.82,3.76,0
Keyboard,Konkan/Mumbai,4,0.88,4.2,0.45,0.9,0.58,High,Annual,3.61,2.73,0
Projector,Pune/Nashik,5,2.62,3.9,0.57,0.67,0.59,Medium,Rare,3.66,1.04,0
Keyboard,Pune/Nashik,4,2.65,9.3,0.61,0.46,0.51,Medium,Annual,2.72,0.07,0
Mouse,Pune/Nashik,3,1.18,4.6,0.42,0.68,0.6,Medium,Rare,2.46,1.28,0
Printer,Vidarbha/Marathwada,5,1.13,7.0,0.76,0.42,0.92,Medium,Annual,4.31,3.18,0
Printer,Pune/Nashik,5,5.27,2.2,0.61,0.69,0.68,Medium,Biannual,5.74,0.47,0
Smartphone,Pune/Nashik,4,3.3,5.4,0.66,0.58,0.47,Medium,Rare,3.05,0.0,1
Keyboard,Pune/Nashik,4,3.74,7.0,0.43,0.52,0.44,High,Rare,2.84,0.0,1
Motherboard,Pune/Nashik,8,2.94,5.7,0.62,0.47,0.55,High,Biannual,5.18,2.24,0
Computer,Vidarbha/Marathwada,6,0.21,3.6,0.83,0.34,0.88,Medium,Rare,3.67,3.46,0
Printer,Vidarbha/Marathwada,5,2.27,6.6,0.89,0.38,0.92,High,Biannual,4.9,2.63,0
Mouse,Vidarbha/Marathwada,3,2.08,4.6,0.67,0.31,0.75,Medium,Annual,3.07,0.99,0
Projector,Konkan/Mumbai,5,2.09,8.3,0.54,1.0,0.64,High,Annual,3.65,1.56,0
Keyboard,Vidarbha/Marathwada,4,3.26,9.5,0.69,0.39,0.97,Medium,Rare,2.29,0.0,1
Mouse,Pune/Nashik,3,1.61,4.1,0.64,0.45,0.47,Low,Annual,3.23,1.62,0
Monitor,Vidarbha/Marathwada,7,1.0,8.3,0.81,0.33,0.95,High,Rare,4.18,3.18,0
Projector,Pune/Nashik,5,0.96,9.3,0.64,0.64,0.66,Low,Rare,2.9,1.94,0
Monitor,Konkan/Mumbai,7,2.96,5.4,0.52,0.98,0.65,High,Rare,5.14,2.18,0
Printer,Vidarbha/Marathwada,5,3.01,4.3,0.69,0.49,0.83,Medium,Rare,3.75,0.74,0
Printer,Vidarbha/Marathwada,5,0.53,8.5,0.9,0.28,0.8,Medium,Rare,3.48,2.95,0
Mouse,Konkan/Mumbai,3,1.54,3.9,0.4,0.76,0.71,High,Rare,2.4,0.86,0
Motherboard,Pune/Nashik,8,2.16,2.1,0.62,0.57,0.58,High,Rare,4.49,2.33,0
Motherboard,Vidarbha/Marathwada,8,0.98,7.3,0.63,0.43,0.87,Medium,Rare,4.52,3.54,0
Mouse,Vidarbha/Marathwada,3,2.16,3.0,0.89,0.29,0.88,Medium,Annual,3.15,0.99,0
Hard Disk / SSD,Konkan/Mumbai,5,3.14,4.7,0.46,0.97,0.54,High,Annual,3.63,0.49,0
Smartphone,Konkan/Mumbai,4,2.17,6.6,0.59,0.97,0.65,Medium,Rare,3.05,0.88,0
Projector,Konkan/Mumbai,5,5.0,2.5,0.31,0.73,0.7,Low,Annual,5.41,0.41,0
Motherboard,Vidarbha/Marathwada,8,2.76,9.7,0.69,0.49,0.97,Low,Rare,3.92,1.16,0
Hard Disk / SSD,Vidarbha/Marathwada,5,2.95,6.4,0.65,0.31,0.98,High,Rare,2.87,0.0,1
Keyboard,Konkan/Mumbai,4,4.31,7.0,0.35,0.78,0.67,Medium,Annual,3.41,0.0,1
Motherboard,Pune/Nashik,8,5.31,9.1,0.53,0.69,0.45,High,Biannual,4.95,0.0,1
Printer,Vidarbha/Marathwada,5,1.28,7.8,0.87,0.4,0.96,Medium,Rare,3.48,2.2,0
Mouse,Konkan/Mumbai,3,0.13,4.8,0.47,0.95,0.71,High,Rare,2.06,1.93,0
Monitor,Vidarbha/Marathwada,7,3.14,2.7,0.82,0.37,0.82,High,Biannual,8.17,5.03,0
Monitor,Pune/Nashik,7,6.11,8.2,0.68,0.48,0.56,Medium,Annual,5.67,0.0,1
Mouse,Konkan/Mumbai,3,2.3,8.1,0.54,0.95,0.62,Medium,Biannual,2.33,0.03,0
Computer,Konkan/Mumbai,6,3.65,9.0,0.52,0.8,0.5,High,Rare,2.84,0.0,1
Monitor,Pune/Nashik,7,3.56,8.4,0.45,0.65,0.43,High,Rare,3.9,0.34,0
Keyboard,Konkan/Mumbai,4,3.19,3.8,0.56,0.95,0.69,Low,Rare,3.45,0.26,0
Hard Disk / SSD,Konkan/Mumbai,5,1.61,9.8,0.39,0.94,0.73,High,Annual,2.38,0.77,0
Computer,Pune/Nashik,6,3.43,5.2,0.45,0.67,0.63,Low,Rare,4.32,0.89,0
Printer,Konkan/Mumbai,5,1.29,6.9,0.38,0.86,0.67,Medium,Rare,3.47,2.18,0
Hard Disk / SSD,Pune/Nashik,5,2.68,9.1,0.59,0.55,0.43,Low,Annual,3.75,1.07,0
Mouse,Konkan/Mumbai,3,2.05,8.7,0.31,0.98,0.64,High,Rare,1.84,0.0,1
Monitor,Konkan/Mumbai,7,3.9,7.8,0.55,1.0,0.5,Medium,Rare,4.77,0.87,0
Mouse,Pune/Nashik,3,2.77,5.9,0.52,0.53,0.56,Medium,Rare,2.02,0.0,1
Hard Disk / SSD,Vidarbha/Marathwada,5,2.82,9.8,0.91,0.32,0.84,Low,Rare,2.83,0.01,0
Smartphone,Pune/Nashik,4,1.32,10.0,0.41,0.4,0.42,Medium,Rare,2.42,1.1,0
Motherboard,Konkan/Mumbai,8,6.16,2.2,0.56,0.82,0.78,High,Biannual,5.61,0.0,1
Hard Disk / SSD,Pune/Nashik,5,2.34,5.2,0.6,0.49,0.47,Medium,Rare,3.51,1.17,0
Printer,Pune/Nashik,5,3.06,7.2,0.66,0.59,0.4,Medium,Rare,3.61,0.55,0
Keyboard,Pune/Nashik,4,3.0,7.0,0.49,0.42,0.45,Low,Annual,3.59,0.59,0
Router / Switch,Pune/Nashik,6,0.15,5.6,0.65,0.53,0.64,High,Biannual,5.32,5.17,0
Motherboard,Vidarbha/Marathwada,8,0.9,9.3,0.77,0.25,0.92,Medium,Biannual,4.67,3.77,0
Mouse,Vidarbha/Marathwada,3,0.48,2.1,0.68,0.47,0.95,Medium,Rare,2.53,2.05,0
Router / Switch,Pune/Nashik,6,0.39,8.0,0.5,0.63,0.61,Low,Rare,3.44,3.05,0
Printer,Konkan/Mumbai,5,2.19,5.4,0.43,0.91,0.59,Medium,Rare,3.71,1.52,0
Computer,Vidarbha/Marathwada,6,2.24,3.7,0.69,0.23,0.78,Low,Biannual,6.46,4.22,0
Printer,Konkan/Mumbai,5,2.53,4.4,0.59,0.86,0.75,High,Rare,3.43,0.9,0
Hard Disk / SSD,Pune/Nashik,5,2.18,8.8,0.41,0.61,0.63,High,Biannual,3.15,0.97,0
Computer,Konkan/Mumbai,6,4.4,3.7,0.45,0.93,0.52,Medium,Annual,4.96,0.56,0
Computer,Pune/Nashik,6,1.63,6.1,0.68,0.52,0.59,Medium,Rare,3.34,1.71,0
Motherboard,Konkan/Mumbai,8,2.52,4.8,0.37,0.78,0.79,Medium,Biannual,6.69,4.17,0
Motherboard,Konkan/Mumbai,8,3.17,4.9,0.48,0.95,0.66,Medium,Rare,4.19,1.02,0
Mouse,Vidarbha/Marathwada,3,2.38,4.8,0.91,0.27,0.79,High,Biannual,3.16,0.78,0
Printer,Pune/Nashik,5,3.2,5.2,0.64,0.51,0.64,Low,Rare,3.91,0.71,0
Monitor,Pune/Nashik,7,6.98,3.6,0.56,0.65,0.46,High,Annual,6.4,0.0,1
Hard Disk / SSD,Pune/Nashik,5,0.43,5.0,0.55,0.66,0.58,High,Rare,2.87,2.44,0
Hard Disk / SSD,Pune/Nashik,5,1.09,7.1,0.44,0.65,0.68,Low,Annual,4.0,2.91,0
Smartphone,Pune/Nashik,4,1.06,6.4,0.45,0.68,0.56,High,Annual,3.59,2.53,0
Keyboard,Vidarbha/Marathwada,4,3.68,6.3,0.88,0.44,0.72,Medium,Annual,3.81,0.13,0
Projector,Pune/Nashik,5,4.26,4.2,0.49,0.64,0.51,Medium,Rare,3.92,0.0,1
Printer,Pune/Nashik,5,4.67,2.6,0.58,0.59,0.62,Medium,Rare,4.52,0.0,1
Router / Switch,Pune/Nashik,6,2.81,4.9,0.59,0.6,0.52,Low,Annual,6.1,3.29,0
Computer,Konkan/Mumbai,6,1.92,2.7,0.49,0.87,0.69,High,Rare,3.66,1.74,0
Projector,Konkan/Mumbai,5,1.71,8.8,0.44,0.97,0.69,Medium,Rare,2.57,0.86,0
Hard Disk / SSD,Konkan/Mumbai,5,3.77,4.8,0.6,0.73,0.55,Low,Annual,4.52,0.75,0
Motherboard,Konkan/Mumbai,8,7.18,2.1,0.44,0.87,0.69,Medium,Biannual,6.49,0.0,1
Motherboard,Konkan/Mumbai,8,5.57,5.8,0.46,0.8,0.56,Low,Annual,6.13,0.56,0
Smartphone,Pune/Nashik,4,1.5,7.5,0.44,0.57,0.45,Medium,Rare,2.87,1.37,0
Motherboard,Konkan/Mumbai,8,3.01,6.0,0.39,0.9,0.51,Medium,Rare,4.5,1.49,0
Keyboard,Vidarbha/Marathwada,4,1.56,3.4,0.66,0.45,0.84,Medium,Rare,3.36,1.8,0
Hard Disk / SSD,Vidarbha/Marathwada,5,3.02,9.9,0.65,0.32,0.81,High,Biannual,3.2,0.18,0
Mouse,Vidarbha/Marathwada,3,0.61,9.4,0.69,0.29,0.73,Medium,Rare,1.96,1.35,0
Motherboard,Pune/Nashik,8,3.84,3.2,0.52,0.63,0.55,Medium,Biannual,6.44,2.6,0
Projector,Pune/Nashik,5,3.54,9.5,0.55,0.65,0.45,High,Annual,2.89,0.0,1
Projector,Vidarbha/Marathwada,5,2.43,7.8,0.83,0.22,0.88,Low,Rare,2.64,0.21,0
Motherboard,Konkan/Mumbai,8,3.73,4.6,0.48,0.91,0.53,High,Annual,5.23,1.5,0
Mouse,Vidarbha/Marathwada,3,3.31,3.4,0.7,0.5,0.83,Low,Rare,2.43,0.0,1
Router / Switch,Pune/Nashik,6,0.75,2.3,0.61,0.69,0.67,High,Annual,5.21,4.46,0
Monitor,Vidarbha/Marathwada,7,3.07,9.6,0.7,0.27,0.99,High,Rare,4.26,1.19,0
Mouse,Konkan/Mumbai,3,1.48,4.0,0.43,0.98,0.74,Medium,Rare,2.36,0.88,0
Keyboard,Vidarbha/Marathwada,4,2.29,3.0,0.87,0.45,0.86,Low,Rare,3.77,1.48,0
Printer,Pune/Nashik,5,2.12,3.8,0.48,0.65,0.66,High,Annual,4.43,2.31,0
Hard Disk / SSD,Vidarbha/Marathwada,5,0.95,7.7,0.87,0.3,0.87,Low,Rare,2.96,2.01,0
Printer,Pune/Nashik,5,3.1,4.8,0.53,0.5,0.67,Low,Rare,4.15,1.05,0
Keyboard,Vidarbha/Marathwada,4,4.0,8.0,0.82,0.37,0.92,High,Annual,3.24,0.0,1
Router / Switch,Konkan/Mumbai,6,5.3,6.4,0.53,0.9,0.78,Medium,Biannual,5.12,0.0,1
Monitor,Vidarbha/Marathwada,7,0.03,2.9,0.68,0.39,0.81,High,Rare,5.87,5.84,0
Keyboard,Pune/Nashik,4,1.3,9.3,0.6,0.47,0.65,Medium,Rare,2.4,1.1,0
Mouse,Konkan/Mumbai,3,1.89,7.1,0.54,0.93,0.56,Medium,Rare,1.97,0.08,0
Motherboard,Pune/Nashik,8,6.96,5.9,0.44,0.68,0.41,Low,Biannual,6.52,0.0,1
Smartphone,Vidarbha/Marathwada,4,2.85,8.9,0.82,0.5,0.81,Low,Rare,2.56,0.0,1
Computer,Vidarbha/Marathwada,6,2.15,3.1,0.77,0.46,0.84,Medium,Biannual,5.43,3.28,0
Smartphone,Vidarbha/Marathwada,4,0.02,6.3,0.81,0.22,0.93,Medium,Rare,2.78,2.76,0
Motherboard,Konkan/Mumbai,8,3.53,3.2,0.34,0.98,0.76,Medium,Rare,5.77,2.24,0
Motherboard,Vidarbha/Marathwada,8,5.08,3.3,0.89,0.24,0.95,Medium,Annual,6.74,1.66,0
Monitor,Pune/Nashik,7,6.01,3.9,0.51,0.4,0.56,Medium,Rare,6.14,0.13,0
Monitor,Vidarbha/Marathwada,7,1.97,4.1,0.62,0.34,0.84,Low,Rare,5.99,4.02,0
Router / Switch,Konkan/Mumbai,6,1.39,8.0,0.58,0.82,0.5,Low,Annual,5.05,3.66,0
Mouse,Konkan/Mumbai,3,2.22,6.8,0.55,0.95,0.62,Medium,Rare,2.13,0.0,1
Projector,Konkan/Mumbai,5,0.96,7.2,0.43,0.83,0.72,Medium,Rare,2.99,2.03,0
Printer,Konkan/Mumbai,5,1.17,2.3,0.5,0.82,0.78,Medium,Annual,4.73,3.56,0
Computer,Vidarbha/Marathwada,6,2.29,7.4,0.66,0.5,0.93,High,Rare,2.92,0.63,0
Computer,Vidarbha/Marathwada,6,2.45,3.9,0.73,0.38,0.82,Medium,Biannual,5.5,3.05,0
Router / Switch,Vidarbha/Marathwada,6,1.98,2.6,0.74,0.37,0.85,Low,Rare,5.55,3.57,0
Hard Disk / SSD,Pune/Nashik,5,4.78,5.4,0.45,0.63,0.66,Low,Annual,3.91,0.0,1
Mouse,Pune/Nashik,3,1.72,9.8,0.51,0.68,0.65,Low,Rare,1.68,0.0,1
Keyboard,Vidarbha/Marathwada,4,4.93,2.9,0.84,0.27,0.84,High,Annual,3.96,0.0,1
Computer,Pune/Nashik,6,0.06,9.5,0.5,0.58,0.48,High,Annual,2.99,2.93,0
Computer,Konkan/Mumbai,6,0.5,2.1,0.6,0.96,0.75,Medium,Biannual,5.57,5.07,0
Printer,Konkan/Mumbai,5,2.75,8.3,0.41,0.86,0.72,High,Rare,2.75,0.0,1
Hard Disk / SSD,Pune/Nashik,5,3.72,7.6,0.66,0.56,0.54,High,Annual,3.01,0.0,1
Mouse,Konkan/Mumbai,3,2.32,7.4,0.4,0.94,0.77,Medium,Rare,1.83,0.0,1
Monitor,Vidarbha/Marathwada,7,5.68,6.6,0.64,0.32,0.79,High,Rare,5.11,0.0,1
Smartphone,Vidarbha/Marathwada,4,1.81,3.5,0.77,0.45,0.76,Low,Rare,3.49,1.68,0
Keyboard,Pune/Nashik,4,1.66,9.7,0.7,0.51,0.55,Low,Annual,2.76,1.1,0
Projector,Konkan/Mumbai,5,2.33,3.2,0.33,0.97,0.61,Medium,Biannual,4.83,2.5,0
Router / Switch,Pune/Nashik,6,5.35,3.4,0.42,0.47,0.44,Low,Annual,5.9,0.55,0
Monitor,Vidarbha/Marathwada,7,4.7,2.9,0.94,0.36,0.88,High,Rare,6.07,1.37,0
Monitor,Konkan/Mumbai,7,0.21,7.8,0.54,0.87,0.74,Medium,Biannual,6.0,5.79,0
Keyboard,Pune/Nashik,4,1.04,8.3,0.66,0.47,0.63,High,Rare,2.46,1.42,0
Mouse,Pune/Nashik,3,1.27,4.3,0.49,0.61,0.6,Medium,Rare,2.5,1.23,0
Hard Disk / SSD,Pune/Nashik,5,0.12,8.3,0.46,0.58,0.46,Low,Rare,2.8,2.68,0
Smartphone,Pune/Nashik,4,4.65,2.2,0.49,0.69,0.46,Medium,Annual,4.13,0.0,1
Motherboard,Konkan/Mumbai,8,4.1,9.9,0.42,0.77,0.63,High,Biannual,4.18,0.08,0
Keyboard,Konkan/Mumbai,4,4.8,2.9,0.36,0.87,0.71,High,Annual,4.43,0.0,1
Router / Switch,Vidarbha/Marathwada,6,0.59,2.6,0.86,0.43,0.73,Medium,Biannual,5.67,5.08,0
Computer,Konkan/Mumbai,6,4.1,6.5,0.43,0.86,0.53,High,Rare,3.59,0.0,1
Printer,Konkan/Mumbai,5,4.06,9.5,0.6,0.8,0.52,High,Annual,3.44,0.0,1
Hard Disk / SSD,Pune/Nashik,5,3.23,3.6,0.4,0.53,0.6,Medium,Rare,3.76,0.53,0
Monitor,Konkan/Mumbai,7,2.68,2.7,0.34,0.94,0.76,Medium,Rare,6.35,3.67,0
Printer,Pune/Nashik,5,0.82,5.9,0.57,0.69,0.61,Low,Annual,4.7,3.88,0
Mouse,Konkan/Mumbai,3,1.33,6.6,0.51,0.82,0.54,Medium,Rare,2.11,0.78,0
Monitor,Pune/Nashik,7,4.39,2.7,0.54,0.68,0.62,Medium,Biannual,7.52,3.13,0
Computer,Konkan/Mumbai,6,3.38,9.9,0.33,0.7,0.71,Medium,Annual,3.82,0.44,0
Computer,Pune/Nashik,6,1.97,6.3,0.59,0.6,0.61,Medium,Rare,3.51,1.54,0
Hard Disk / SSD,Vidarbha/Marathwada,5,2.91,8.1,0.88,0.32,0.87,Low,Rare,3.15,0.24,0
Mouse,Vidarbha/Marathwada,3,0.15,4.3,0.72,0.23,0.87,High,Rare,2.18,2.03,0
Keyboard,Pune/Nashik,4,1.64,2.5,0.64,0.68,0.54,Medium,Rare,3.75,2.11,0
Monitor,Vidarbha/Marathwada,7,3.65,4.8,0.87,0.23,0.77,High,Rare,5.48,1.83,0
Monitor,Konkan/Mumbai,7,3.73,6.4,0.45,0.88,0.62,Low,Rare,4.61,0.88,0
Keyboard,Konkan/Mumbai,4,3.0,9.6,0.53,0.75,0.68,Medium,Annual,2.85,0.0,1
Monitor,Konkan/Mumbai,7,5.09,7.9,0.51,0.87,0.55,Medium,Annual,5.07,0.0,1
Mouse,Konkan/Mumbai,3,0.8,6.1,0.52,0.98,0.58,Medium,Rare,2.3,1.5,0
Monitor,Vidarbha/Marathwada,7,2.79,5.2,0.68,0.34,0.99,Low,Annual,6.49,3.7,0
Motherboard,Konkan/Mumbai,8,3.37,9.2,0.4,0.78,0.61,High,Rare,3.53,0.16,0
Mouse,Vidarbha/Marathwada,3,0.52,7.5,0.79,0.2,0.98,Medium,Biannual,2.87,2.35,0
Printer,Vidarbha/Marathwada,5,2.49,5.8,0.88,0.2,0.79,High,Annual,4.85,2.36,0
Smartphone,Vidarbha/Marathwada,4,4.43,2.1,0.8,0.27,0.81,Medium,Rare,3.64,0.0,1
Monitor,Vidarbha/Marathwada,7,5.4,2.0,0.89,0.47,0.95,Medium,Annual,7.38,1.98,0
Motherboard,Pune/Nashik,8,3.83,6.8,0.52,0.52,0.58,High,Annual,4.73,0.9,0
Printer,Konkan/Mumbai,5,4.09,9.8,0.46,0.71,0.72,High,Annual,3.17,0.0,1
Router / Switch,Pune/Nashik,6,0.39,5.0,0.58,0.7,0.54,Low,Rare,4.24,3.85,0
Printer,Vidarbha/Marathwada,5,4.39,5.6,0.84,0.4,0.72,Medium,Rare,3.97,0.0,1
Printer,Konkan/Mumbai,5,3.07,3.7,0.55,0.85,0.6,Low,Rare,4.14,1.07,0
Motherboard,Vidarbha/Marathwada,8,6.32,7.1,0.83,0.26,0.71,Low,Biannual,5.63,0.0,1
Mouse,Vidarbha/Marathwada,3,2.87,4.3,0.68,0.25,0.89,Medium,Biannual,3.46,0.59,0
Computer,Pune/Nashik,6,1.66,6.4,0.66,0.56,0.55,High,Annual,3.65,1.99,0
Motherboard,Konkan/Mumbai,8,2.15,4.7,0.51,0.88,0.67,Medium,Annual,5.72,3.57,0
Router / Switch,Konkan/Mumbai,6,3.94,4.1,0.43,0.94,0.57,High,Rare,3.46,0.0,1
Computer,Pune/Nashik,6,5.05,4.5,0.59,0.58,0.54,Medium,Annual,4.41,0.0,1
Monitor,Konkan/Mumbai,7,5.62,2.6,0.43,0.72,0.69,Low,Annual,7.48,1.86,0
Mouse,Pune/Nashik,3,0.31,9.1,0.51,0.59,0.45,Medium,Annual,2.05,1.74,0
Computer,Konkan/Mumbai,6,4.38,2.8,0.59,0.75,0.73,Medium,Rare,4.14,0.0,1
Printer,Vidarbha/Marathwada,5,1.64,4.6,0.94,0.31,0.8,High,Rare,3.9,2.26,0
Monitor,Vidarbha/Marathwada,7,4.88,9.2,0.94,0.37,0.93,High,Annual,5.13,0.25,0
Router / Switch,Konkan/Mumbai,6,3.23,6.1,0.4,0.87,0.76,Medium,Rare,3.45,0.22,0
Printer,Pune/Nashik,5,4.66,9.7,0.65,0.44,0.5,Low,Biannual,4.37,0.0,1
Monitor,Vidarbha/Marathwada,7,4.52,9.1,0.65,0.22,0.97,High,Biannual,5.58,1.06,0
Computer,Vidarbha/Marathwada,6,0.64,3.2,0.88,0.4,0.96,Low,Rare,4.59,3.95,0
Smartphone,Pune/Nashik,4,0.81,8.4,0.65,0.54,0.7,Medium,Biannual,3.21,2.4,0
Printer,Vidarbha/Marathwada,5,2.96,8.9,0.78,0.38,0.71,Medium,Annual,3.7,0.74,0
Keyboard,Pune/Nashik,4,3.89,5.0,0.59,0.43,0.61,Medium,Rare,3.02,0.0,1
Keyboard,Konkan/Mumbai,4,4.41,3.5,0.32,0.84,0.65,Medium,Rare,3.49,0.0,1
Printer,Vidarbha/Marathwada,5,2.44,3.1,0.82,0.49,0.83,Medium,Rare,3.8,1.36,0
Router / Switch,Pune/Nashik,6,3.81,5.8,0.56,0.64,0.53,Medium,Rare,3.62,0.0,1
Printer,Konkan/Mumbai,5,3.78,5.5,0.52,0.82,0.67,Low,Rare,3.55,0.0,1
Smartphone,Pune/Nashik,4,4.31,2.9,0.43,0.68,0.67,Medium,Biannual,4.8,0.49,0
Mouse,Vidarbha/Marathwada,3,2.8,9.3,0.84,0.34,0.83,Medium,Rare,1.85,0.0,1
Router / Switch,Vidarbha/Marathwada,6,3.89,2.2,0.79,0.46,0.87,Medium,Rare,4.45,0.56,0
Router / Switch,Konkan/Mumbai,6,3.92,4.8,0.5,0.8,0.53,High,Rare,4.01,0.09,0
Hard Disk / SSD,Pune/Nashik,5,3.46,9.0,0.47,0.53,0.55,Low,Rare,2.9,0.0,1
Monitor,Konkan/Mumbai,7,4.49,4.0,0.55,0.78,0.69,High,Annual,7.1,2.61,0
Keyboard,Vidarbha/Marathwada,4,1.6,4.7,0.72,0.3,0.94,Medium,Rare,3.14,1.54,0
Hard Disk / SSD,Konkan/Mumbai,5,2.82,8.5,0.57,0.98,0.57,Low,Rare,2.81,0.0,1
Mouse,Vidarbha/Marathwada,3,1.39,8.5,0.73,0.29,0.72,High,Biannual,2.31,0.92,0
Printer,Konkan/Mumbai,5,3.31,2.7,0.35,0.88,0.53,Medium,Biannual,6.0,2.69,0
Printer,Konkan/Mumbai,5,4.24,4.4,0.34,0.79,0.61,High,Biannual,5.48,1.24,0
Smartphone,Pune/Nashik,4,2.72,5.0,0.52,0.59,0.66,Medium,Rare,3.29,0.57,0
Hard Disk / SSD,Vidarbha/Marathwada,5,2.08,3.3,0.69,0.29,0.94,High,Rare,3.59,1.51,0
Projector,Vidarbha/Marathwada,5,4.13,3.9,0.66,0.47,0.82,Medium,Rare,3.64,0.0,1
Smartphone,Konkan/Mumbai,4,3.91,2.4,0.47,0.7,0.59,Low,Rare,3.76,0.0,1
Hard Disk / SSD,Pune/Nashik,5,1.06,5.3,0.41,0.43,0.57,High,Biannual,4.36,3.3,0
Router / Switch,Pune/Nashik,6,3.69,3.9,0.68,0.47,0.53,Medium,Annual,5.13,1.44,0
Projector,Vidarbha/Marathwada,5,3.67,5.6,0.69,0.41,0.99,High,Annual,4.05,0.38,0
Projector,Pune/Nashik,5,1.38,7.7,0.6,0.7,0.55,High,Biannual,3.6,2.22,0
Hard Disk / SSD,Pune/Nashik,5,1.21,7.1,0.7,0.45,0.54,Medium,Rare,3.31,2.1,0
Mouse,Pune/Nashik,3,2.32,10.0,0.63,0.6,0.44,High,Annual,2.16,0.0,1
Monitor,Vidarbha/Marathwada,7,5.74,7.7,0.85,0.38,0.72,Medium,Annual,5.78,0.04,0
Monitor,Pune/Nashik,7,5.48,7.1,0.47,0.4,0.45,Low,Rare,4.64,0.0,1
Computer,Konkan/Mumbai,6,3.19,6.3,0.45,0.91,0.72,High,Rare,3.55,0.36,0
Smartphone,Vidarbha/Marathwada,4,1.64,6.1,0.84,0.49,0.89,Medium,Rare,3.08,1.44,0
