device_type,manufacturer,region,manufacturing_year,base_lifespan_yrs,current_age_yrs,daily_usage_hrs,temperature,environment,power_quality,maintenance,software_load,remaining_life_yrs,failed
Projector,Sony,Pune/Nashik,2023,5,1.52,8.5,Normal,Harsh,UPS Protected,Occasional,Heavy,3.48,0
Camera,Canon,Vidarbha/Marathwada,2022,5,3.35,13.1,Normal,Clean,Direct Grid,Occasional,Office,1.07,0
Battery,Generic,Konkan/Mumbai,2021,3,3.71,3.7,Normal,Clean,Direct Grid,None,Office,0.0,1
Smartwatch,Apple,Konkan/Mumbai,2023,3,2.32,7.8,Hot,Harsh,Direct Grid,Occasional,Office,0.34,0
Mouse,HP,Pune/Nashik,2020,3,4.81,4.2,Cool,Normal,Direct Grid,Occasional,Office,0.0,1
Motherboard,Intel,Konkan/Mumbai,2019,8,5.69,1.4,Normal,Normal,Direct Grid,None,Light,1.36,0
Mouse,HP,Pune/Nashik,2022,3,2.93,3.7,Cool,Normal,Direct Grid,None,Office,0.0,1
Camera,Logitech,Pune/Nashik,2018,5,6.64,8.3,Normal,Clean,Direct Grid,Occasional,Light,0.0,1
Projector,BenQ,Konkan/Mumbai,2023,5,1.75,13.2,Normal,Normal,Direct Grid,Regular,Light,3.13,0
Microwave,Samsung,Pune/Nashik,2016,8,8.77,13.7,Normal,Clean,UPS Protected,Regular,Office,0.0,1
Smartphone,Xiaomi,Vidarbha/Marathwada,2021,4,4.02,3.9,Hot,Normal,Direct Grid,Occasional,Office,0.0,1
Smartphone,Samsung,Vidarbha/Marathwada,2021,4,4.32,5.2,Cool,Normal,Frequent Outages,Occasional,Office,0.0,1
Hard Disk / SSD,WD,Pune/Nashik,2019,5,6.33,13.4,Normal,Normal,UPS Protected,Occasional,Office,0.0,1
Refrigerator,Samsung,Pune/Nashik,2011,12,13.68,2.4,Hot,Normal,UPS Protected,Regular,Light,0.0,1
Router / Switch,Cisco,Pune/Nashik,2019,6,5.78,3.4,Normal,Clean,Direct Grid,Occasional,Office,0.0,1
Television,Samsung,Konkan/Mumbai,2021,8,3.61,12.5,Normal,Clean,Direct Grid,Regular,Heavy,3.39,0
Washing Machine,LG,Pune/Nashik,2024,10,0.99,7.6,Normal,Clean,Direct Grid,Regular,Office,9.01,0
Washing Machine,LG,Vidarbha/Marathwada,2015,10,10.29,5.6,Hot,Harsh,Frequent Outages,Occasional,Heavy,0.0,1
Keyboard,HP,Vidarbha/Marathwada,2021,4,4.05,4.6,Hot,Harsh,Direct Grid,Occasional,Office,0.0,1
Computer,Lenovo,Konkan/Mumbai,2025,6,0.16,2.9,Cool,Harsh,UPS Protected,Occasional,Light,5.84,0
Mouse,HP,Vidarbha/Marathwada,2022,3,2.78,9.5,Hot,Harsh,UPS Protected,Regular,Office,0.0,1
Motherboard,MSI,Pune/Nashik,2024,8,0.52,10.3,Cool,Normal,UPS Protected,Occasional,Office,7.48,0
Air Conditioner,Voltas,Vidarbha/Marathwada,2015,10,9.72,11.7,Normal,Clean,Frequent Outages,Regular,Light,0.0,1
Television,Samsung,Vidarbha/Marathwada,2019,8,6.37,12.9,Hot,Harsh,UPS Protected,Occasional,Light,0.35,0
Monitor,Samsung,Vidarbha/Marathwada,2021,7,3.53,10.0,Normal,Harsh,Direct Grid,Occasional,Light,2.51,0
Monitor,Samsung,Pune/Nashik,2019,7,5.7,10.0,Normal,Normal,Frequent Outages,Occasional,Heavy,0.0,1
Mouse,Logitech,Vidarbha/Marathwada,2020,3,4.75,10.5,Cool,Clean,Direct Grid,Occasional,Light,0.0,1
Router / Switch,Cisco,Pune/Nashik,2017,6,7.75,11.3,Normal,Clean,UPS Protected,None,Office,0.0,1
Microwave,Samsung,Vidarbha/Marathwada,2024,8,1.46,10.4,Cool,Normal,Frequent Outages,Occasional,Light,6.54,0
Television,TCL,Vidarbha/Marathwada,2017,8,8.5,6.9,Hot,Normal,Direct Grid,Occasional,Light,0.0,1
Mouse,Logitech,Konkan/Mumbai,2023,3,1.8,6.1,Hot,Harsh,UPS Protected,Regular,Heavy,0.97,0
Television,Sony,Vidarbha/Marathwada,2016,8,8.71,13.0,Hot,Clean,Frequent Outages,None,Heavy,0.0,1
Keyboard,Zebronics,Konkan/Mumbai,2023,4,2.44,6.3,Normal,Normal,UPS Protected,Occasional,Office,1.33,0
Washing Machine,Samsung,Vidarbha/Marathwada,2024,10,1.14,12.2,Hot,Normal,UPS Protected,Regular,Heavy,7.66,0
Computer,Lenovo,Vidarbha/Marathwada,2024,6,1.23,6.5,Hot,Clean,Direct Grid,Occasional,Office,4.3,0
Monitor,LG,Vidarbha/Marathwada,2017,7,8.32,10.8,Normal,Harsh,Direct Grid,Occasional,Light,0.0,1
Router / Switch,Cisco,Konkan/Mumbai,2024,6,0.69,4.4,Normal,Harsh,Direct Grid,Regular,Office,5.31,0
Smartwatch,Samsung,Vidarbha/Marathwada,2024,3,1.2,11.5,Hot,Harsh,Direct Grid,Occasional,Office,1.37,0
Printer,Epson,Pune/Nashik,2025,5,0.17,8.7,Cool,Clean,Frequent Outages,Regular,Light,4.58,0
Washing Machine,Samsung,Konkan/Mumbai,2015,10,9.51,11.4,Normal,Normal,UPS Protected,Occasional,Office,0.0,1
Refrigerator,Godrej,Konkan/Mumbai,2019,12,6.14,8.9,Cool,Harsh,Direct Grid,Occasional,Light,5.35,0
Smartwatch,Samsung,Konkan/Mumbai,2023,3,2.26,4.8,Cool,Clean,Direct Grid,Regular,Office,0.54,0
Refrigerator,Samsung,Pune/Nashik,2014,12,10.89,8.1,Normal,Clean,UPS Protected,Occasional,Office,0.0,1
Television,Sony,Vidarbha/Marathwada,2023,8,2.24,9.6,Hot,Harsh,Frequent Outages,Regular,Office,4.96,0
Laptop,Acer,Konkan/Mumbai,2025,5,0.31,1.5,Normal,Clean,Frequent Outages,Regular,Light,4.53,0
Keyboard,Logitech,Konkan/Mumbai,2021,4,4.13,8.9,Cool,Clean,UPS Protected,Occasional,Light,0.0,1
Keyboard,Logitech,Vidarbha/Marathwada,2021,4,3.78,6.0,Hot,Clean,Direct Grid,None,Light,0.0,1
Battery,Amaron,Pune/Nashik,2020,3,4.56,11.7,Cool,Clean,UPS Protected,Occasional,Heavy,0.0,1
Microwave,Samsung,Vidarbha/Marathwada,2023,8,2.24,11.3,Cool,Harsh,Direct Grid,Occasional,Office,5.56,0
Projector,Sony,Pune/Nashik,2021,5,4.16,13.5,Hot,Clean,UPS Protected,Occasional,Heavy,0.0,1
Washing Machine,LG,Pune/Nashik,2022,10,3.05,1.5,Cool,Normal,Direct Grid,Occasional,Office,6.95,0
Television,Mi,Konkan/Mumbai,2020,8,5.0,7.7,Cool,Clean,UPS Protected,Occasional,Office,2.21,0
Air Conditioner,Daikin,Vidarbha/Marathwada,2014,10,11.1,3.2,Hot,Clean,Direct Grid,Regular,Office,0.0,1
Computer,Assembled,Pune/Nashik,2024,6,1.4,12.2,Normal,Clean,UPS Protected,Occasional,Heavy,4.12,0
Washing Machine,LG,Pune/Nashik,2025,10,0.47,11.1,Normal,Clean,UPS Protected,None,Office,9.53,0
Smartphone,Samsung,Konkan/Mumbai,2020,4,4.78,9.5,Normal,Clean,Direct Grid,Occasional,Heavy,0.0,1
Printer,Brother,Vidarbha/Marathwada,2019,5,5.51,8.1,Normal,Harsh,Direct Grid,Occasional,Office,0.0,1
Keyboard,Zebronics,Pune/Nashik,2022,4,3.39,5.0,Cool,Normal,Frequent Outages,Regular,Light,0.14,0
Printer,HP,Pune/Nashik,2020,5,4.65,13.6,Cool,Normal,Direct Grid,Regular,Light,0.0,1
Battery,Exide,Pune/Nashik,2024,3,1.46,12.4,Normal,Clean,Direct Grid,Occasional,Light,1.2,0
Laptop,HP,Pune/Nashik,2025,5,0.25,5.0,Normal,Harsh,UPS Protected,None,Office,4.75,0
Camera,Sony,Vidarbha/Marathwada,2020,5,4.76,7.3,Hot,Normal,UPS Protected,None,Heavy,0.0,1
Monitor,BenQ,Vidarbha/Marathwada,2025,7,0.14,13.7,Normal,Normal,Direct Grid,Occasional,Light,6.12,0
Smartphone,Samsung,Konkan/Mumbai,2023,4,2.02,13.8,Normal,Clean,Direct Grid,Occasional,Light,1.72,0
Washing Machine,LG,Konkan/Mumbai,2018,10,7.18,13.8,Hot,Clean,UPS Protected,Regular,Light,1.82,0
Microwave,Bajaj,Pune/Nashik,2021,8,3.7,5.5,Hot,Normal,UPS Protected,Occasional,Light,3.4,0
Projector,BenQ,Pune/Nashik,2024,5,1.42,10.2,Normal,Clean,UPS Protected,Occasional,Office,3.08,0
Router / Switch,Cisco,Vidarbha/Marathwada,2021,6,4.07,10.4,Normal,Normal,Frequent Outages,Regular,Light,0.88,0
Computer,Dell,Konkan/Mumbai,2023,6,2.28,3.2,Cool,Normal,Direct Grid,Regular,Office,3.45,0
Washing Machine,LG,Pune/Nashik,2018,10,6.92,9.5,Cool,Clean,Frequent Outages,Regular,Heavy,2.3,0
Battery,Luminous,Pune/Nashik,2025,3,0.07,8.0,Hot,Harsh,Frequent Outages,Occasional,Office,2.76,0
Smartphone,Apple,Konkan/Mumbai,2021,4,4.23,13.5,Normal,Normal,Direct Grid,Occasional,Office,0.0,1
Television,Samsung,Vidarbha/Marathwada,2015,8,9.72,10.6,Normal,Harsh,UPS Protected,Regular,Office,0.0,1
Microwave,LG,Konkan/Mumbai,2023,8,2.21,13.5,Hot,Clean,Direct Grid,None,Office,4.61,0
Television,Sony,Konkan/Mumbai,2018,8,7.18,3.3,Normal,Harsh,UPS Protected,Occasional,Office,0.21,0
Washing Machine,Samsung,Konkan/Mumbai,2015,10,9.95,10.1,Normal,Clean,Frequent Outages,Occasional,Heavy,0.0,1
Monitor,Samsung,Konkan/Mumbai,2016,7,8.73,1.5,Cool,Clean,Direct Grid,None,Office,0.0,1
Television,LG,Vidarbha/Marathwada,2022,8,3.27,4.7,Hot,Harsh,Frequent Outages,None,Office,4.32,0
Motherboard,Intel,Vidarbha/Marathwada,2016,8,9.43,6.7,Normal,Normal,Direct Grid,None,Light,0.0,1
Printer,Canon,Konkan/Mumbai,2023,5,2.11,3.1,Normal,Clean,UPS Protected,Regular,Light,2.5,0
Smartphone,OnePlus,Pune/Nashik,2024,4,1.26,8.2,Normal,Harsh,UPS Protected,Occasional,Heavy,2.58,0
Smartphone,Apple,Pune/Nashik,2022,4,3.11,2.8,Normal,Clean,UPS Protected,None,Light,0.89,0
Camera,Canon,Vidarbha/Marathwada,2023,5,2.46,5.4,Normal,Harsh,Direct Grid,None,Light,2.03,0
Computer,HP,Konkan/Mumbai,2021,6,4.31,5.9,Hot,Normal,Direct Grid,Regular,Office,0.69,0
Camera,Logitech,Pune/Nashik,2024,5,1.33,12.5,Hot,Harsh,UPS Protected,Occasional,Light,3.03,0
Washing Machine,Whirlpool,Pune/Nashik,2022,10,2.55,8.9,Cool,Normal,UPS Protected,Occasional,Heavy,6.38,0
Projector,Epson,Pune/Nashik,2023,5,2.13,2.5,Normal,Clean,UPS Protected,Regular,Heavy,2.73,0
Computer,Acer,Vidarbha/Marathwada,2019,6,6.16,9.5,Hot,Clean,Frequent Outages,Occasional,Heavy,0.0,1
Motherboard,Gigabyte,Konkan/Mumbai,2021,8,4.17,1.1,Normal,Normal,UPS Protected,Regular,Office,2.95,0
Microwave,LG,Konkan/Mumbai,2017,8,8.03,10.1,Normal,Normal,Direct Grid,Regular,Light,0.0,1
Air Conditioner,Blue Star,Pune/Nashik,2019,10,6.33,5.7,Normal,Normal,Direct Grid,Regular,Light,3.36,0
Microwave,Samsung,Konkan/Mumbai,2021,8,4.01,5.7,Normal,Harsh,UPS Protected,None,Light,3.23,0
Printer,HP,Vidarbha/Marathwada,2018,5,6.51,1.5,Normal,Normal,Frequent Outages,Regular,Office,0.0,1
Keyboard,Logitech,Pune/Nashik,2023,4,2.26,6.3,Hot,Clean,Direct Grid,Occasional,Heavy,1.58,0
Hard Disk / SSD,Crucial,Vidarbha/Marathwada,2019,5,5.53,4.8,Cool,Normal,Direct Grid,Occasional,Office,0.0,1
Refrigerator,Whirlpool,Pune/Nashik,2018,12,6.57,10.7,Hot,Normal,UPS Protected,Regular,Light,3.66,0
Smartwatch,boAt,Konkan/Mumbai,2021,3,4.46,12.6,Hot,Normal,Frequent Outages,Regular,Light,0.0,1
Television,Sony,Vidarbha/Marathwada,2018,8,7.39,9.7,Normal,Harsh,Frequent Outages,Occasional,Light,0.0,1
Mouse,HP,Pune/Nashik,2022,3,2.54,8.9,Cool,Normal,Direct Grid,Occasional,Heavy,0.0,1
Refrigerator,LG,Pune/Nashik,2013,12,11.88,10.3,Cool,Clean,Direct Grid,Occasional,Heavy,0.0,1
Smartphone,Realme,Konkan/Mumbai,2025,4,0.02,3.8,Normal,Harsh,Direct Grid,Regular,Office,3.84,0
Refrigerator,Samsung,Vidarbha/Marathwada,2022,12,2.64,1.1,Normal,Harsh,Direct Grid,None,Office,9.36,0
Hard Disk / SSD,Samsung,Pune/Nashik,2022,5,2.74,13.4,Normal,Normal,Direct Grid,None,Light,1.96,0
Washing Machine,Samsung,Konkan/Mumbai,2016,10,8.91,8.3,Normal,Normal,Direct Grid,Regular,Office,0.0,1
Hard Disk / SSD,Samsung,Pune/Nashik,2020,5,4.76,3.5,Normal,Normal,Direct Grid,None,Office,0.0,1
Motherboard,Intel,Vidarbha/Marathwada,2024,8,1.11,1.3,Hot,Normal,Direct Grid,None,Light,6.43,0
Mouse,HP,Pune/Nashik,2025,3,0.11,9.0,Normal,Clean,Direct Grid,Regular,Office,2.89,0
Camera,Nikon,Pune/Nashik,2018,5,6.53,9.9,Normal,Normal,Direct Grid,Regular,Light,0.0,1
Projector,ViewSonic,Pune/Nashik,2024,5,1.07,13.1,Normal,Clean,UPS Protected,None,Heavy,3.63,0
Television,TCL,Konkan/Mumbai,2020,8,5.07,4.5,Normal,Clean,Direct Grid,Occasional,Office,1.77,0
Monitor,Dell,Pune/Nashik,2023,7,1.54,10.4,Normal,Harsh,Direct Grid,Regular,Light,4.8,0
Motherboard,Asus,Konkan/Mumbai,2019,8,6.11,6.5,Normal,Normal,Direct Grid,Regular,Office,0.54,0
Smartwatch,Noise,Konkan/Mumbai,2023,3,2.11,12.9,Normal,Clean,Frequent Outages,Regular,Heavy,0.36,0
Mouse,HP,Konkan/Mumbai,2025,3,0.23,2.1,Hot,Normal,Direct Grid,Regular,Heavy,2.6,0
Hard Disk / SSD,WD,Pune/Nashik,2022,5,2.77,3.3,Normal,Clean,UPS Protected,None,Office,2.14,0
Washing Machine,IFB,Pune/Nashik,2023,10,2.4,6.0,Normal,Clean,Direct Grid,Regular,Heavy,7.25,0
Microwave,Samsung,Pune/Nashik,2021,8,4.34,7.3,Normal,Normal,Direct Grid,Occasional,Light,2.79,0
Keyboard,Zebronics,Pune/Nashik,2024,4,0.77,9.3,Hot,Clean,Direct Grid,Occasional,Light,2.8,0
Mouse,Zebronics,Vidarbha/Marathwada,2023,3,1.72,12.3,Normal,Normal,Frequent Outages,Occasional,Heavy,0.92,0
Television,TCL,Konkan/Mumbai,2017,8,7.56,11.1,Hot,Normal,UPS Protected,Regular,Office,0.0,1
Washing Machine,LG,Konkan/Mumbai,2023,10,2.06,12.9,Hot,Normal,Direct Grid,Regular,Office,6.5,0
Laptop,Lenovo,Konkan/Mumbai,2019,5,6.27,7.2,Normal,Harsh,Frequent Outages,Occasional,Light,0.0,1
Microwave,Bajaj,Pune/Nashik,2023,8,1.57,10.3,Cool,Normal,Direct Grid,Regular,Light,6.12,0
Television,Samsung,Pune/Nashik,2017,8,7.73,3.1,Normal,Normal,Frequent Outages,None,Office,0.0,1
Smartwatch,boAt,Vidarbha/Marathwada,2025,3,0.16,13.1,Normal,Normal,Direct Grid,None,Light,2.84,0
Air Conditioner,Daikin,Pune/Nashik,2015,10,9.71,7.7,Normal,Clean,Direct Grid,None,Light,0.0,1
Television,Mi,Vidarbha/Marathwada,2021,8,4.23,7.7,Normal,Harsh,Direct Grid,None,Office,2.91,0
Router / Switch,Cisco,Pune/Nashik,2022,6,3.32,11.1,Normal,Normal,Direct Grid,Regular,Light,2.23,0
Camera,Nikon,Vidarbha/Marathwada,2019,5,5.66,1.8,Hot,Harsh,Frequent Outages,Regular,Office,0.0,1
Router / Switch,Netgear,Konkan/Mumbai,2019,6,5.85,12.7,Hot,Normal,UPS Protected,Occasional,Light,0.0,1
Printer,Brother,Konkan/Mumbai,2024,5,1.43,11.0,Normal,Clean,UPS Protected,None,Heavy,3.09,0
Smartwatch,Samsung,Pune/Nashik,2021,3,3.89,13.5,Cool,Normal,UPS Protected,Occasional,Office,0.0,1
Microwave,Samsung,Konkan/Mumbai,2019,8,6.07,12.1,Normal,Normal,Direct Grid,Regular,Light,0.55,0
Washing Machine,IFB,Vidarbha/Marathwada,2018,10,6.57,12.6,Hot,Harsh,Direct Grid,Regular,Heavy,1.44,0
Microwave,IFB,Konkan/Mumbai,2022,8,2.65,11.6,Hot,Harsh,Direct Grid,Occasional,Office,4.26,0
Smartwatch,Noise,Pune/Nashik,2021,3,3.8,10.1,Normal,Normal,UPS Protected,Occasional,Light,0.0,1
Monitor,Samsung,Konkan/Mumbai,2025,7,0.27,4.8,Normal,Harsh,Direct Grid,Regular,Office,6.28,0
Smartphone,Realme,Vidarbha/Marathwada,2022,4,2.91,8.5,Normal,Harsh,Direct Grid,None,Heavy,0.62,0
Air Conditioner,Voltas,Konkan/Mumbai,2015,10,9.93,7.9,Normal,Harsh,Direct Grid,None,Office,0.0,1
Router / Switch,Cisco,Konkan/Mumbai,2024,6,0.89,11.1,Hot,Harsh,Direct Grid,Regular,Light,4.74,0
Laptop,Acer,Konkan/Mumbai,2021,5,3.93,3.4,Hot,Harsh,UPS Protected,Regular,Office,0.88,0
Battery,Generic,Konkan/Mumbai,2022,3,3.07,3.3,Normal,Normal,Direct Grid,Occasional,Office,0.0,1
Smartphone,Realme,Konkan/Mumbai,2019,4,5.92,3.2,Cool,Normal,UPS Protected,Regular,Light,0.0,1
Camera,Canon,Pune/Nashik,2018,5,6.89,10.2,Normal,Normal,Frequent Outages,Occasional,Light,0.0,1
Motherboard,Gigabyte,Konkan/Mumbai,2017,8,8.19,1.4,Normal,Normal,UPS Protected,None,Office,0.0,1
Printer,Brother,Konkan/Mumbai,2020,5,4.77,4.4,Normal,Harsh,UPS Protected,Regular,Light,0.0,1
Smartwatch,Noise,Konkan/Mumbai,2024,3,1.07,9.9,Hot,Normal,Frequent Outages,None,Light,1.78,0
Router / Switch,TP-Link,Konkan/Mumbai,2023,6,2.42,1.4,Normal,Clean,UPS Protected,None,Office,3.41,0
Battery,Luminous,Pune/Nashik,2022,3,3.11,7.0,Normal,Harsh,Direct Grid,Occasional,Office,0.0,1
Smartphone,OnePlus,Vidarbha/Marathwada,2019,4,5.63,3.3,Hot,Harsh,Frequent Outages,Regular,Light,0.0,1
Refrigerator,Whirlpool,Pune/Nashik,2024,12,1.43,12.3,Cool,Normal,UPS Protected,Occasional,Heavy,9.61,0
Refrigerator,LG,Konkan/Mumbai,2012,12,13.1,4.0,Cool,Normal,Direct Grid,Regular,Light,0.0,1
Router / Switch,Cisco,Pune/Nashik,2022,6,2.84,4.4,Normal,Clean,UPS Protected,Occasional,Office,3.16,0
Mouse,Zebronics,Vidarbha/Marathwada,2022,3,3.06,7.8,Normal,Normal,Direct Grid,Occasional,Office,0.0,1
Laptop,Asus,Konkan/Mumbai,2024,5,0.85,10.2,Normal,Normal,UPS Protected,Regular,Light,4.15,0
Laptop,HP,Pune/Nashik,2025,5,0.38,10.2,Normal,Clean,Direct Grid,Regular,Heavy,4.62,0
Router / Switch,Cisco,Vidarbha/Marathwada,2020,6,5.49,9.2,Normal,Harsh,Frequent Outages,None,Light,0.0,1
Router / Switch,TP-Link,Konkan/Mumbai,2025,6,0.27,4.5,Normal,Harsh,UPS Protected,Regular,Office,5.3,0
Monitor,BenQ,Pune/Nashik,2023,7,2.09,8.3,Normal,Clean,Direct Grid,Regular,Heavy,4.53,0
Refrigerator,LG,Konkan/Mumbai,2022,12,3.22,12.6,Hot,Clean,Direct Grid,None,Heavy,7.57,0
Camera,Logitech,Vidarbha/Marathwada,2018,5,6.73,9.9,Cool,Normal,Direct Grid,None,Office,0.0,1
Projector,BenQ,Pune/Nashik,2023,5,1.72,7.2,Cool,Clean,UPS Protected,Occasional,Office,2.9,0
Camera,Sony,Konkan/Mumbai,2018,5,6.52,9.5,Hot,Harsh,Direct Grid,Occasional,Office,0.0,1
Laptop,Asus,Konkan/Mumbai,2022,5,2.58,10.3,Normal,Harsh,UPS Protected,Occasional,Office,1.83,0
Air Conditioner,Voltas,Konkan/Mumbai,2019,10,6.06,10.4,Hot,Harsh,UPS Protected,Regular,Office,2.63,0
Hard Disk / SSD,Crucial,Vidarbha/Marathwada,2022,5,3.32,13.1,Hot,Harsh,Direct Grid,None,Office,0.8,0
Router / Switch,Netgear,Vidarbha/Marathwada,2022,6,2.91,13.2,Hot,Harsh,Direct Grid,Regular,Office,2.5,0
Refrigerator,LG,Pune/Nashik,2022,12,2.63,3.8,Hot,Harsh,Direct Grid,Occasional,Heavy,9.37,0
Mouse,HP,Pune/Nashik,2021,3,4.43,8.2,Cool,Normal,Frequent Outages,Occasional,Office,0.0,1
Hard Disk / SSD,Crucial,Konkan/Mumbai,2023,5,2.36,8.5,Normal,Clean,Direct Grid,Regular,Office,2.16,0
Printer,HP,Pune/Nashik,2021,5,4.26,12.6,Normal,Clean,UPS Protected,None,Light,0.27,0
Smartphone,Realme,Konkan/Mumbai,2020,4,5.45,8.1,Cool,Harsh,Direct Grid,Occasional,Office,0.0,1
Hard Disk / SSD,Seagate,Pune/Nashik,2019,5,6.19,5.4,Hot,Normal,UPS Protected,None,Office,0.0,1
Battery,Luminous,Pune/Nashik,2024,3,0.68,6.2,Normal,Clean,Frequent Outages,Occasional,Office,2.3,0
Hard Disk / SSD,WD,Konkan/Mumbai,2022,5,3.46,11.7,Hot,Harsh,UPS Protected,Occasional,Light,1.23,0
Washing Machine,LG,Konkan/Mumbai,2020,10,5.47,7.7,Normal,Harsh,Direct Grid,None,Heavy,3.5,0
Projector,Sony,Konkan/Mumbai,2022,5,3.14,12.5,Normal,Normal,UPS Protected,Occasional,Heavy,1.15,0
Refrigerator,Whirlpool,Vidarbha/Marathwada,2022,12,3.02,10.6,Normal,Normal,Frequent Outages,Occasional,Light,7.85,0
Television,TCL,Konkan/Mumbai,2016,8,8.99,5.5,Normal,Normal,UPS Protected,Regular,Light,0.0,1
Computer,HP,Konkan/Mumbai,2022,6,2.52,13.4,Normal,Harsh,UPS Protected,None,Light,2.56,0
Battery,Luminous,Vidarbha/Marathwada,2020,3,4.99,5.0,Hot,Harsh,Frequent Outages,Regular,Office,0.0,1
Keyboard,HP,Konkan/Mumbai,2025,4,0.26,5.9,Hot,Normal,Direct Grid,Regular,Office,3.74,0
Mouse,Logitech,Pune/Nashik,2021,3,4.34,9.0,Cool,Normal,Frequent Outages,Regular,Office,0.0,1
Television,Samsung,Pune/Nashik,2021,8,4.25,2.4,Normal,Normal,UPS Protected,Occasional,Office,3.62,0
Smartphone,Apple,Konkan/Mumbai,2025,4,0.46,9.8,Normal,Normal,Direct Grid,None,Office,3.54,0
Monitor,Samsung,Vidarbha/Marathwada,2023,7,1.64,4.7,Normal,Normal,UPS Protected,None,Light,5.36,0
Printer,Brother,Vidarbha/Marathwada,2020,5,5.02,4.8,Hot,Harsh,Direct Grid,Regular,Light,0.0,1
Washing Machine,Whirlpool,Vidarbha/Marathwada,2023,10,1.76,2.8,Hot,Clean,UPS Protected,Regular,Office,7.85,0
Camera,Logitech,Pune/Nashik,2020,5,5.04,3.5,Cool,Harsh,Frequent Outages,Regular,Light,0.0,1
Monitor,Acer,Pune/Nashik,2024,7,0.65,11.2,Hot,Normal,UPS Protected,None,Office,6.3,0
Washing Machine,IFB,Pune/Nashik,2022,10,2.73,8.8,Normal,Normal,Direct Grid,Occasional,Heavy,5.88,0
Refrigerator,Samsung,Konkan/Mumbai,2020,12,4.95,3.9,Hot,Clean,UPS Protected,None,Office,6.41,0
Air Conditioner,Voltas,Pune/Nashik,2024,10,1.18,3.2,Normal,Normal,Direct Grid,Regular,Light,8.82,0
Television,LG,Vidarbha/Marathwada,2017,8,8.12,9.4,Hot,Clean,UPS Protected,Regular,Office,0.0,1
Keyboard,HP,Pune/Nashik,2022,4,3.14,5.9,Normal,Clean,UPS Protected,Regular,Heavy,0.66,0
Camera,Sony,Konkan/Mumbai,2020,5,5.02,4.8,Normal,Clean,Direct Grid,Regular,Light,0.0,1
Router / Switch,Cisco,Vidarbha/Marathwada,2019,6,6.06,6.7,Hot,Clean,Frequent Outages,Occasional,Office,0.0,1
Computer,Acer,Vidarbha/Marathwada,2023,6,1.89,7.0,Hot,Clean,Direct Grid,Occasional,Heavy,3.71,0
Motherboard,Gigabyte,Pune/Nashik,2023,8,2.29,1.7,Normal,Normal,UPS Protected,Regular,Office,5.52,0
Hard Disk / SSD,Seagate,Konkan/Mumbai,2024,5,0.96,1.8,Normal,Normal,Direct Grid,Occasional,Light,4.04,0
Television,Mi,Vidarbha/Marathwada,2021,8,3.53,1.8,Normal,Normal,Direct Grid,None,Light,3.71,0
Laptop,Acer,Vidarbha/Marathwada,2019,5,6.04,2.0,Normal,Normal,UPS Protected,Occasional,Office,0.0,1
Printer,Brother,Pune/Nashik,2022,5,3.43,8.2,Normal,Clean,Direct Grid,Occasional,Light,1.38,0
Washing Machine,IFB,Pune/Nashik,2015,10,10.19,13.5,Hot,Normal,Direct Grid,Occasional,Heavy,0.0,1
Keyboard,HP,Konkan/Mumbai,2024,4,1.05,8.3,Hot,Clean,UPS Protected,Occasional,Office,2.53,0
Keyboard,Zebronics,Vidarbha/Marathwada,2022,4,3.07,5.4,Normal,Clean,Frequent Outages,Regular,Office,0.72,0
Television,Samsung,Vidarbha/Marathwada,2021,8,4.13,13.4,Hot,Clean,Frequent Outages,None,Office,2.65,0
Printer,HP,Vidarbha/Marathwada,2024,5,1.27,9.0,Cool,Normal,Direct Grid,Occasional,Light,3.46,0
Keyboard,Logitech,Vidarbha/Marathwada,2022,4,2.51,1.7,Hot,Harsh,UPS Protected,Occasional,Heavy,0.8,0
Microwave,Samsung,Vidarbha/Marathwada,2017,8,8.25,2.4,Hot,Clean,Direct Grid,None,Light,0.0,1
Air Conditioner,Samsung,Vidarbha/Marathwada,2023,10,2.05,11.6,Hot,Harsh,UPS Protected,None,Office,7.14,0
Mouse,Zebronics,Vidarbha/Marathwada,2024,3,1.44,8.8,Hot,Clean,UPS Protected,None,Light,1.41,0
Motherboard,Asus,Konkan/Mumbai,2022,8,2.92,3.2,Normal,Normal,UPS Protected,Regular,Office,4.78,0
Router / Switch,D-Link,Konkan/Mumbai,2024,6,1.19,10.3,Normal,Normal,Direct Grid,Occasional,Heavy,4.81,0
Refrigerator,Godrej,Pune/Nashik,2018,12,7.18,5.8,Cool,Clean,Direct Grid,Occasional,Office,3.57,0
Hard Disk / SSD,Seagate,Vidarbha/Marathwada,2021,5,3.56,11.0,Cool,Harsh,Direct Grid,None,Office,1.05,0
Projector,Sony,Pune/Nashik,2024,5,1.11,11.9,Cool,Normal,UPS Protected,Regular,Office,3.49,0
Microwave,IFB,Pune/Nashik,2022,8,3.37,8.0,Cool,Clean,Direct Grid,None,Office,4.0,0
Mouse,Zebronics,Pune/Nashik,2021,3,3.94,1.3,Normal,Clean,UPS Protected,Regular,Light,0.0,1
Battery,Amaron,Pune/Nashik,2025,3,0.11,10.7,Normal,Normal,Frequent Outages,Occasional,Light,2.68,0
Air Conditioner,Voltas,Vidarbha/Marathwada,2016,10,8.81,12.4,Cool,Normal,Direct Grid,Occasional,Light,0.0,1
